producto;idSecuenciaIni;idSecuenciaFin
570;20121122;20130111
48;20200511;20200611
120;20140116;20140321
936;20170316;20170416
249;20260317;20260406
179;20110104;20110111
388;20250605;20250702
972;20130112;20130311
664;20170521;20170612
63;20160401;20160430
395;20121122;20130111
413;20190906;20191006
570;20160817;20160831
133;20210311;20210407
96;20240523;20240619
936;20211021;20211117
484;20131122;20140115
31;20211216;20220112
200;20130819;20130919
966;20210506;20210606
331;20250605;20250702
702;20160817;20160831
936;20151118;20160110
140;20210311;20210407
554;20181213;20190110
31;20210614;20210714
516;20200626;20200723
965;20180601;20180701
671;20141029;20141121
515;20210614;20210714
126;20211118;20211215
626;20250731;20250827
97;20181008;20181108
415;20160307;20160331
280;20250227;20250323
829;20220908;20221005
734;20190715;20190815
554;20240327;20240424
28;20190906;20191006
56;20150901;20151008
29;20191108;20191208
229;20180108;20180303
836;20201008;20201108
120;20220616;20220713
305;20180305;20180405
662;20180611;20180711
223;20220324;20220420
192;20130920;20131121
932;20230713;20230813
386;20200716;20200812
917;20150410;20150611
452;20140613;20140713
229;20190111;20190307
47;20171106;20171206
173;20240718;20240813
570;20191210;20200110
305;20190516;20190613
386;20210603;20210630
705;20190715;20190815
47;20170905;20171004
672;20150313;20150409
685;20130312;20130405
511;20180611;20180711
63;20150901;20151008
305;20161007;20161117
672;20220421;20220518
570;20200724;20200824
117;20110112;20110223
534;20210923;20211020
126;20220421;20220518
862;20140116;20140321
614;20170110;20170306
719;20150410;20150611
578;20140116;20140321
117;20190715;20190815
31;20151118;20160110
48;20220714;20220810
429;20240425;20240522
40;20140613;20140713
63;20250605;20250702
614;20210614;20210714
388;20180712;20180812
901;20210901;20210922
836;20171005;20171105
719;20230314;20230326
511;20240523;20240619
936;20150901;20151008
394;20251023;20251116
121;20190329;20190425
998;20180406;20180506
755;20180712;20180812
395;20190516;20190613
284;20180712;20180812
108;20120927;20121121
431;20211216;20220112
18;20250424;20250521
132;20200511;20200611
272;20190906;20191006
586;20200910;20201007
622;20160401;20160430
345;20241107;20241204
142;20221006;20221102
50;20180305;20180405
108;20200511;20200611
185;20240201;20240229
132;20151118;20160110
243;20130819;20130919
67;20200324;20200414
128;20241107;20241204
887;20231130;20240101
742;20221211;20230111
646;20140116;20140321
67;20200825;20200909
18;20150901;20151008
803;20201112;20201209
618;20200324;20200414
213;20170613;20170713
217;20250703;20250730
564;20230615;20230712
640;20231130;20240101
743;20200306;20200323
272;20240523;20240619
962;20240425;20240522
202;20250424;20250521
660;20221103;20221130
961;20231005;20231101
33;20200511;20200611
640;20211021;20211117
303;20160901;20160930
962;20170420;20170520
855;20210614;20210714
692;20220224;20220323
973;20250102;20250129
243;20140322;20140422
191;20110828;20110923
634;20230420;20230517
961;20140322;20140422
887;20240912;20241009
912;20221211;20230111
102;20210901;20210922
714;20190906;20191006
618;20140116;20140321
282;20191007;20191107
213;20200612;20200625
303;20210715;20210815
26;20210311;20210407
93;20240327;20240424
618;20180108;20180306
459;20220113;20220223
303;20200612;20200625
2;20110828;20110923
666;20150113;20150312
70;20220519;20220615
457;20220714;20220810
64;20170905;20171004
387;20191210;20200110
822;20200825;20200909
762;20200626;20200723
252;20180108;20180306
576;20160817;20160831
430;20190614;20190714
924;20210729;20210825
765;20240425;20240522
545;20170420;20170520
955;20190308;20190328
761;20190819;20190905
483;20200626;20200723
170;20220421;20220518
616;20120826;20120926
70;20170905;20171004
266;20140828;20141028
449;20171207;20180107
711;20250703;20250730
170;20190819;20190905
107;20160714;20160815
483;20181008;20181108
544;20170905;20171004
666;20180507;20180611
955;20200511;20200611
64;20190111;20190307
337;20170521;20170612
558;20211216;20220112
390;20170613;20170713
964;20170905;20171004
427;20190715;20190815
753;20220616;20220713
816;20210901;20210922
981;20121122;20130111
543;20180712;20180812
681;20180611;20180711
107;20201008;20201108
290;20230309;20230419
72;20150113;20150312
418;20201210;20210113
670;20140116;20140321
545;20181112;20181212
494;20220908;20221005
34;20190516;20190613
98;20230214;20230314
506;20171106;20171206
72;20240620;20240717
127;20181008;20181108
558;20161007;20161117
449;20140116;20140321
774;20231102;20231129
10;20200324;20200414
212;20210923;20211020
838;20211021;20211117
670;20180305;20180405
387;20191007;20191107
838;20240425;20240522
595;20180108;20180306
453;20250424;20250521
467;20220908;20221005
543;20140423;20140612
186;20180108;20180306
6;20220421;20220518
553;20211216;20220112
324;20170613;20170713
296;20240102;20240131
876;20210901;20210922
25;20191114;20191211
34;20160817;20160831
822;20160714;20160815
6;20190516;20190613
107;20250102;20250129
387;20240523;20240619
170;20140613;20140713
629;20110828;20110923
170;20231102;20231129
924;20190131;20190227
557;20160714;20160815
123;20220519;20220615
906;20140714;20140813
681;20190614;20190714
418;20220421;20220518
715;20141122;20150112
562;20130112;20130311
128;20210311;20210407
345;20231130;20240101
962;20211021;20211117
243;20220908;20221005
716;20260217;20260316
962;20250703;20250730
35;20210408;20210505
16;20130614;20130816
187;20180108;20180306
345;20240327;20240424
431;20170316;20170416
253;20220421;20220518
701;20161007;20161117
26;20180108;20180303
204;20250925;20251022
459;20170817;20170904
303;20221006;20221102
459;20110104;20110111
185;20140322;20140422
197;20240327;20240424
217;20110828;20110923
622;20190516;20190613
303;20210816;20210831
973;20150313;20150409
973;20130112;20130311
102;20240620;20240717
108;20190111;20190307
202;20190614;20190714
50;20210408;20210505
51;20211118;20211215
108;20150410;20150611
912;20220421;20220518
594;20180305;20180405
995;20140613;20140713
895;20200525;20200625
289;20200306;20200323
142;20130312;20130405
104;20210901;20210922
885;20210408;20210505
459;20201008;20201108
871;20190426;20190515
775;20250227;20250323
51;20210715;20210815
586;20231005;20231101
35;20241010;20241106
197;20150901;20151008
608;20201210;20210113
197;20161007;20161117
960;20150313;20150409
646;20150313;20150409
995;20211118;20211215
961;20210114;20210307
716;20221103;20221130
622;20130112;20130311
85;20190819;20190905
995;20180712;20180812
690;20160901;20160930
279;20200116;20200226
660;20180108;20180306
973;20190715;20190815
78;20190715;20190815
284;20160509;20160609
617;20220616;20220713
586;20211021;20211117
108;20240814;20240911
279;20240425;20240522
701;20120613;20120816
995;20151118;20160110
359;20220616;20220713
53;20230214;20230314
323;20241107;20241204
303;20191108;20191208
885;20190614;20190714
586;20170420;20170520
312;20201112;20201209
253;20190614;20190714
953;20201112;20201209
857;20240102;20240131
14;20200511;20200611
128;20190308;20190328
857;20221211;20230111
887;20190906;20191006
42;20191108;20191208
197;20191108;20191208
815;20210506;20210606
617;20130819;20130919
284;20200511;20200611
939;20220113;20220223
154;20171005;20171105
72;20190329;20190425
170;20260317;20260406
