cluster,n_obs,Modelo,RMSE,MAE,Bias
0,39820,Seasonal Naive,3.3025,2.227,-0.0227
1,112039,Seasonal Naive,1.8571,1.0453,-0.0026
2,3982,Seasonal Naive,3.32,0.4063,0.0
0,39820,Holt-Winters,2.537,1.9374,-0.0852
1,112039,Holt-Winters,1.341,1.0202,0.0884
2,3982,Holt-Winters,1.4194,0.4849,0.0917
0,39820,RF Base,2.4201,1.8059,0.1495
1,112039,RF Base,1.3806,1.0012,0.1362
2,3982,RF Base,2.0484,0.2709,0.0174
0,39820,Random Forest,2.3628,1.749,0.0033
1,112039,Random Forest,1.3007,0.9604,0.0296
2,3982,Random Forest,1.9876,0.2711,0.0125
0,39820,XGBoost Base,2.4473,1.8063,-0.0023
1,112039,XGBoost Base,1.3215,0.9664,0.0264
2,3982,XGBoost Base,2.0332,0.2595,0.0044
0,39820,XGBoost,2.3801,1.7668,-0.0125
1,112039,XGBoost,1.3034,0.9585,0.0184
2,3982,XGBoost,2.0387,0.2615,-0.0243
0,39820,Stacking,2.3872,1.7555,-0.11
1,112039,Stacking,1.3058,0.9422,-0.0299
2,3982,Stacking,2.0198,0.2501,-0.0258
0,39820,Stacking v2,2.3869,1.7585,-0.1067
1,112039,Stacking v2,1.3059,0.9398,-0.0322
2,3982,Stacking v2,1.9622,0.2164,-0.0423
